region,pattern,keyword,exposed,approx_pos
서울 관악구,구/시,관악구 스카이차,0,
서울 서초구,구/시,서초구 스카이차,1,66
경기 안양시,구/시,안양시 스카이차,0,
충남 공주시,구/시,공주시 스카이차,1,14
인천 남동구,구/시,남동구 스카이차,0,
서울 용산구,구/시,용산구 스카이차,0,
경기 안성시,구/시,안성시 스카이차,0,
서울 성동구,구/시,성동구 스카이차,0,
서울 동작구,구/시,동작구 스카이차,0,
경기 과천시,구/시,과천시 스카이차,1,48
인천 동구,구/시,동구 스카이차,0,
충남 청양군,구/시,청양군 스카이차,1,20
경기 의왕시 오전동,시+동,의왕 오전동 스카이차,1,30
경기 의왕시 오전동,동읍면,오전동 스카이차,1,45
경기 의왕시 오전동,구/시,의왕시 스카이차,1,46
서울 동작구 본동,시+동,동작 본동 스카이차,1,26
서울 동작구 본동,동읍면,본동 스카이차,0,
서울 동작구 본동,구/시,동작구 스카이차,0,
서울 광진구 구의동,시+동,광진 구의동 스카이차,0,
서울 광진구 구의동,동읍면,구의동 스카이차,0,
서울 광진구 구의동,구/시,광진구 스카이차,0,
서울 종로구 원남동,시+동,종로 원남동 스카이차,1,10
서울 종로구 원남동,동읍면,원남동 스카이차,1,26
서울 종로구 원남동,구/시,종로구 스카이차,0,
인천 서구 경서동,시+동,서 경서동 스카이차,0,
인천 서구 경서동,동읍면,경서동 스카이차,0,
인천 서구 경서동,구/시,서구 스카이차,0,
대전 대덕구 장동,시+동,대덕 장동 스카이차,0,
대전 대덕구 장동,동읍면,장동 스카이차,0,
대전 대덕구 장동,구/시,대덕구 스카이차,1,45
서울 은평구,구/시,은평구 스카이차,0,
서울 종로구 원서동,시+동,종로 원서동 스카이차,1,10
서울 종로구 원서동,동읍면,원서동 스카이차,1,16
서울 종로구 원서동,구/시,종로구 스카이차,0,
대전 유성구 구성동,시+동,유성 구성동 스카이차,1,10
대전 유성구 구성동,동읍면,구성동 스카이차,1,27
대전 유성구 구성동,구/시,유성구 스카이차,0,
인천 중구 남북동,시+동,중 남북동 스카이차,1,8
인천 중구 남북동,동읍면,남북동 스카이차,1,26
인천 중구 남북동,구/시,중구 스카이차,0,
경기 평택시 용이동,시+동,평택 용이동 스카이차,0,
경기 평택시 용이동,동읍면,용이동 스카이차,0,
경기 평택시 용이동,구/시,평택시 스카이차,0,
충북 청주시 월오동,시+동,청주 월오동 스카이차,0,
충북 청주시 월오동,동읍면,월오동 스카이차,1,41
충북 청주시 월오동,구/시,청주시 스카이차,0,
서울 종로구 신교동,시+동,종로 신교동 스카이차,1,24
서울 종로구 신교동,동읍면,신교동 스카이차,0,
서울 종로구 신교동,구/시,종로구 스카이차,0,
충북 충주시 금릉동,시+동,충주 금릉동 스카이차,0,
충북 충주시 금릉동,동읍면,금릉동 스카이차,0,
충북 충주시 금릉동,구/시,충주시 스카이차,0,
경기 수원시 인계동,시+동,수원 인계동 스카이차,0,
경기 수원시 인계동,동읍면,인계동 스카이차,0,
경기 수원시 인계동,구/시,수원시 스카이차,0,
서울 서초구 염곡동,시+동,서초 염곡동 스카이차,0,
서울 서초구 염곡동,동읍면,염곡동 스카이차,0,
서울 서초구 염곡동,구/시,서초구 스카이차,1,66
경기 평택시,구/시,평택시 스카이차,0,
